water_year,firstdate,N_check
2010,2010-08-26,7
2011,2011-07-03,7
2012,2012-07-04,7
2013,2013-07-03,7
2014,2014-06-10,7
2015,2015-06-14,7
2016,2016-06-06,7
2017,2017-06-25,7
2018,2018-06-16,7
2019,2019-06-25,7
2020,2020-06-06,7
2021,2021-06-07,7
2022,2022-06-16,7
