Brood Year,FirstPassageDate,5%PassageDate,10%PassageDate,25%PassageDate,50%PassageDate,75%PassageDate,90%PassageDate,95%PassageDate,LastPassageDate,DurationMiddle80%Days,DurationMiddle50%Days,DurationMiddle90%Days,Run Size,'Today'(08/04) %
2021 YTD,11/05/2021,,,,,,,,04/19/2022,,,,397.6 (YTD),
Average (1997 - 2020),12/09,12/29,01/05,01/16,02/04,02/26,03/14,03/26,04/16,68.9,42.3,88.6,426.3,100.0%
Median (1997 - 2020),12/05,12/17,12/24,01/07,02/05,03/04,03/16,04/01,04/18,69.5,41.5,79.0,322.1,100.0%
2020,02/24/2021,03/02/2021,03/02/2021,03/09/2021,03/17/2021,03/30/2021,04/05/2021,04/22/2021,04/22/2021,35,22,52,106.7,100.0%
2019,11/08/2019,12/16/2019,12/17/2019,12/30/2019,01/07/2020,01/08/2020,01/29/2020,02/20/2020,03/17/2020,45,11,68,928.1,100.0%
2018,12/03/2018,12/10/2018,12/25/2018,01/16/2019,02/11/2019,04/01/2019,04/01/2019,04/01/2019,05/09/2019,99,76,114,243.3,100.0%
2017,12/06/2017,01/26/2018,02/21/2018,02/27/2018,02/27/2018,03/22/2018,03/23/2018,04/05/2018,04/05/2018,31,24,70,433,100.0%
2016,11/08/2016,12/14/2016,12/29/2016,01/04/2017,03/29/2017,04/04/2017,04/04/2017,04/12/2017,04/13/2017,97,91,120,450.9,100.0%
2015,12/24/2015,01/29/2016,03/03/2016,03/24/2016,03/29/2016,03/29/2016,03/29/2016,03/29/2016,04/13/2016,27,6,61,259,100.0%
2014,12/05/2014,12/10/2014,12/19/2014,12/24/2014,01/02/2015,01/13/2015,02/24/2015,04/07/2015,04/21/2015,69,22,120,670.6,100.0%
2013,11/14/2013,02/11/2014,02/12/2014,02/14/2014,02/18/2014,02/21/2014,02/28/2014,04/03/2014,04/29/2014,17,8,52,94.3,100.0%
2012,11/26/2012,12/07/2012,12/10/2012,12/17/2012,12/31/2012,02/07/2013,02/22/2013,03/13/2013,04/18/2013,75,53,97,503.1,100.0%
2011,12/05/2011,12/19/2011,12/23/2011,01/19/2012,02/23/2012,03/20/2012,04/03/2012,04/11/2012,04/18/2012,104,62,116,193.8,100.0%
2010,11/01/2010,12/15/2010,12/19/2010,01/06/2011,02/03/2011,03/08/2011,03/29/2011,03/29/2011,04/20/2011,102,62,106,1139.6,100.0%
2009,12/28/2009,01/25/2010,02/09/2010,02/25/2010,03/23/2010,04/08/2010,04/15/2010,04/15/2010,04/22/2010,66,43,81,229.5,100.0%
2008,01/21/2009,02/24/2009,02/24/2009,02/24/2009,03/03/2009,04/09/2009,04/21/2009,05/06/2009,05/06/2009,57,45,72,76.3,100.0%
2007,12/28/2007,12/28/2007,01/29/2008,02/07/2008,03/04/2008,03/25/2008,04/17/2008,04/24/2008,04/24/2008,80,48,120,66.8,100.0%
2006,12/18/2006,12/26/2006,12/26/2006,01/09/2007,02/08/2007,02/26/2007,02/26/2007,02/26/2007,03/27/2007,64,49,64,208.9,100.0%
2005,11/21/2005,12/07/2005,12/07/2005,12/14/2005,02/02/2006,03/02/2006,03/09/2006,04/04/2006,05/04/2006,94,80,120,923,100.0%
2004,12/10/2004,12/10/2004,12/13/2004,12/17/2004,12/29/2004,01/28/2005,03/17/2005,04/01/2005,04/18/2005,95,43,113,447.2,100.0%
2003,12/06/2003,12/12/2003,12/12/2003,12/17/2003,12/18/2003,01/12/2004,02/19/2004,02/20/2004,03/25/2004,71,28,72,842.5,100.0%
2002,12/16/2002,12/18/2002,12/20/2002,12/26/2002,01/08/2003,01/24/2003,02/18/2003,02/27/2003,05/06/2003,62,31,73,1108.2,100.0%
2001,11/27/2001,11/30/2001,12/05/2001,12/14/2001,12/21/2001,01/14/2002,02/12/2002,02/13/2002,04/17/2002,71,33,77,398.2,100.0%
2000,12/27/2000,01/16/2001,01/23/2001,02/14/2001,03/06/2001,03/06/2001,03/15/2001,03/29/2001,03/29/2001,52,21,73,61,100.0%
1999,12/22/1999,12/29/1999,01/05/2000,01/16/2000,01/28/2000,02/24/2000,03/14/2000,03/22/2000,04/17/2000,70,40,86,333.7,100.0%
1998,11/27/1998,12/02/1998,12/04/1998,12/18/1998,12/31/1998,01/22/1999,01/29/1999,02/11/1999,03/31/1999,58,37,73,310.5,100.0%
1997,12/01/1997,12/03/1997,12/10/1997,12/17/1997,01/02/1998,03/06/1998,03/30/1998,04/07/1998,04/14/1998,112,81,127,203.9,100.0%
