Water Year,FirstPassageDate,5%PassageDate,10%PassageDate,25%PassageDate,50%PassageDate,75%PassageDate,90%PassageDate,95%PassageDate,LastPassageDate,DurationMiddle80%Days,DurationMiddle50%Days,DurationMiddle90%Days,Expanded Salvage,'Today'(08/07) %
2022 YTD,04/11/2022,,,,,,,,05/21/2022,,,,249 (YTD),
Average (1997 - 2021),02/22,03/27,04/01,04/08,04/19,04/28,05/06,05/12,06/07,36.6,20.6,46.7,12320.6,100.0%
Median (1997 - 2021),02/25,03/28,03/30,04/07,04/18,04/26,05/04,05/13,06/04,35.0,18.0,45.0,5099.7,100.0%
2021,03/29/2021,04/15/2021,04/17/2021,04/20/2021,04/28/2021,05/01/2021,05/03/2021,05/05/2021,05/12/2021,17,12,21,293,100.0%
2020,03/18/2020,04/06/2020,04/09/2020,04/11/2020,04/15/2020,04/22/2020,04/29/2020,05/02/2020,05/26/2020,21,12,27,2265.27,100.0%
2019,02/19/2019,04/10/2019,04/22/2019,04/30/2019,05/08/2019,05/17/2019,05/23/2019,05/25/2019,06/25/2019,32,18,46,2179,100.0%
2018,03/14/2018,03/27/2018,03/28/2018,03/30/2018,04/07/2018,04/16/2018,05/02/2018,05/09/2018,05/23/2018,36,18,44,9486.82,100.0%
2017,02/16/2017,04/10/2017,04/18/2017,04/27/2017,05/07/2017,05/14/2017,05/22/2017,06/01/2017,06/29/2017,35,18,53,26712.77,100.0%
2016,02/11/2016,02/12/2016,02/28/2016,03/18/2016,04/17/2016,05/02/2016,05/13/2016,05/14/2016,05/19/2016,76,46,93,154,100.0%
2015,03/30/2015,03/30/2015,03/30/2015,04/05/2015,04/22/2015,04/24/2015,05/04/2015,05/18/2015,05/18/2015,36,20,50,49.5,100.0%
2014,03/13/2014,03/19/2014,03/21/2014,04/05/2014,04/09/2014,04/19/2014,04/23/2014,04/29/2014,05/10/2014,34,15,42,483.66,100.0%
2013,03/17/2013,03/24/2013,03/27/2013,04/08/2013,04/24/2013,05/02/2013,05/08/2013,05/13/2013,05/25/2013,43,25,51,909,100.0%
2012,03/10/2012,03/25/2012,03/28/2012,04/02/2012,04/15/2012,04/21/2012,05/02/2012,05/07/2012,06/08/2012,36,20,44,1063,100.0%
2011,01/03/2011,04/13/2011,04/22/2011,04/30/2011,05/07/2011,05/16/2011,05/29/2011,06/03/2011,06/24/2011,38,17,52,17653.58,100.0%
2010,03/09/2010,03/31/2010,04/06/2010,04/16/2010,05/02/2010,05/16/2010,05/26/2010,05/29/2010,06/05/2010,51,31,60,4068,100.0%
2009,03/15/2009,03/30/2009,04/02/2009,04/11/2009,04/23/2009,05/01/2009,05/10/2009,05/13/2009,06/15/2009,39,21,45,4729.5,100.0%
2008,03/11/2008,04/03/2008,04/07/2008,04/18/2008,04/27/2008,05/04/2008,05/10/2008,05/14/2008,06/05/2008,34,17,42,5099.67,100.0%
2007,03/02/2007,04/01/2007,04/04/2007,04/10/2007,04/15/2007,04/18/2007,04/21/2007,04/24/2007,05/30/2007,18,9,24,3378,100.0%
2006,02/09/2006,03/23/2006,04/04/2006,04/12/2006,05/02/2006,05/25/2006,05/29/2006,06/05/2006,06/19/2006,56,44,75,5822,100.0%
2005,02/25/2005,03/25/2005,03/27/2005,04/04/2005,04/21/2005,04/29/2005,05/12/2005,05/22/2005,06/11/2005,47,26,59,14694,100.0%
2004,01/18/2004,03/09/2004,03/14/2004,03/21/2004,04/04/2004,04/13/2004,04/27/2004,05/04/2004,05/26/2004,45,24,57,4534,100.0%
2003,01/07/2003,03/21/2003,03/25/2003,03/29/2003,04/06/2003,04/14/2003,04/26/2003,04/30/2003,05/29/2003,33,17,41,15706,100.0%
2002,01/01/2002,03/28/2002,03/30/2002,04/03/2002,04/08/2002,04/14/2002,04/21/2002,04/30/2002,06/03/2002,23,12,34,8177,100.0%
2001,03/13/2001,03/25/2001,03/30/2001,04/03/2001,04/12/2001,04/18/2001,04/28/2001,05/02/2001,05/14/2001,30,16,39,17934,100.0%
2000,02/13/2000,03/29/2000,04/02/2000,04/06/2000,04/10/2000,04/14/2000,04/24/2000,04/28/2000,09/26/2000,23,9,31,42474,100.0%
1999,02/02/1999,03/28/1999,04/04/1999,04/10/1999,04/18/1999,04/26/1999,05/07/1999,05/13/1999,06/04/1999,34,17,47,46655,100.0%
1998,02/22/1998,03/25/1998,03/26/1998,04/01/1998,04/29/1998,05/09/1998,05/18/1998,05/22/1998,06/25/1998,54,39,59,30589,100.0%
1997,02/08/1997,03/24/1997,03/25/1997,03/28/1997,04/03/1997,04/09/1997,04/17/1997,04/24/1997,06/05/1997,24,13,32,42906.42,100.0%
