"","date","daily.mean.x","three.day.avg.cfs","month.x","daily.mean.y","three.day.avg.fnu","month.y","year","correctmonth","WY","exceeded.cfs","exceeded.fnu","exceeded.all"
"1",2012-01-25,30647.7708333333,27327.0243055556,1,82.1229166666667,64.3840277777778,1,2012,1,2012,1,1,3
"2",2012-12-02,47353.2083333333,32188.8506944444,12,86.7354166666667,50.0239583333333,12,2012,1,2013,1,1,3
"3",2014-12-07,26011.4583333333,25741.6666666667,12,147.333333333333,94.290625,12,2014,1,2015,1,1,3
"4",2017-01-10,89666.6666666667,81275,1,95.6458333333333,62.375,1,2017,1,2017,1,1,3
"5",2019-01-11,33616.6666666667,30380.9027777778,1,62.1208333333333,54.5545138888889,1,2019,1,2019,1,1,3
"6",2021-12-17,27769.1489361702,27535.6662933931,12,55.209375,66.8892945906433,12,2021,1,2022,1,1,3
"7",2022-12-31,39035.4838709677,27614.8387096774,12,146.785263157895,78.4922807017544,12,2022,1,2023,1,1,3
