year,first
2011,2011-07-08
2012,2012-07-12
2013,2013-07-01
2014,2014-06-10
2015,2015-06-13
2016,2016-06-05
2017,2017-06-23
2018,2018-06-25
2019,2019-07-15
2020,2020-06-25
2021,2021-06-20
2022,2022-06-27
